Building,Schedules,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Setpoint Demand Response,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Wall Type And Exterior Finish,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Bedrooms,Corridor,Vacancy Status,Occupants,Window Areas,Neighbors,Insulation Ceiling,Insulation Roof,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration,Has PV,PV System Size,PV Orientation,CEC Climate Zone,REEDS Balancing Area
145,Stochastic,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour20,Hour15,4C,"WA, Clark County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11101",Single-Family Detached,1970s,1960-79,Single-Family Detached,Electricity,None,None,Vented Crawlspace,Wood Frame,"Vinyl, Light","Wood Frame, Vinyl, Light",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,None,3,Not Applicable,Occupied,2,F18 B18 L18 R18,Left/Right at 15ft,R-13,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, R-7","Single, Clear, Non-metal",Yes,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,68F,75F,Yes,No,12F,0F,Night -3h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% LED,94%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50,No,None,None,None,2
146,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour0,Hour20,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01323",Single-Family Detached,1980s,1980-99,Single-Family Detached,Natural Gas,None,None,Slab,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,2 Car,4,Not Applicable,Occupied,2,F12 B12 L12 R12,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Wood Shingles,Uninsulated,None,None,"Wood Stud, R-11","Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 60% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 8",None,None,None,None,68F,65F,No,Yes,0F,5F,None,Night Setback -3h,Standard Efficiency,"EF 10.5, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,94%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50,No,None,None,None,5
147,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour20,Hour6,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01321",Single-Family Detached,<1940,<1940,Single-Family Detached,Electricity,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,3 Car,3,Not Applicable,Occupied,2,F15 B15 L15 R15,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,"Tile, Concrete",None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Double, Low-E, Non-metal, Air, M-Gain",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,"Room AC, EER 9.8",None,None,None,None,65F,70F,No,No,0F,0F,None,None,Standard Efficiency,"EF 10.5, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,94%,EF 17.6,"EF 12, National Average",Electric,None,None,None,No,None,30 ACH50,No,None,None,None,5
148,Stochastic,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour3,Hour7,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01316",Single-Family Detached,1990s,1980-99,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,2 Car,4,Not Applicable,Occupied,2,F9 B9 L9 R9,Left/Right at 15ft,R-49,"Unfinished, Uninsulated",No,Composition Shingles,None,Ceiling R-19,Uninsulated,"Wood Stud, R-19","Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,68F,68F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 120% Usage",None,Yes,"Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,94%,EF 15.9,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, Uninsulated",10 ACH50,No,None,None,None,5
149,Stochastic,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour9,Hour18,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01323",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",1500-1999,1500-2499,3,Single-Family Detached,None,None,None,3,Vented Attic,None,3,Not Applicable,Occupied,3,F15 B15 L15 R15,Left/Right at 15ft,R-13,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 10.7",None,None,None,None,70F,70F,No,Yes,0F,5F,None,Night Setback +3h,None,"EF 19.9, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,94%,None,"EF 12, National Average",None,None,None,None,No,None,20 ACH50,No,None,None,None,5
150,Stochastic,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour10,Hour17,4C,"WA, Clark County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11101",Single-Family Detached,1980s,1980-99,Single-Family Detached,Natural Gas,None,None,Slab,Wood Frame,"Vinyl, Light","Wood Frame, Vinyl, Light",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,3,Not Applicable,Occupied,1,F30 B30 L30 R30,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Wood Stud, R-11","Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,65F,80F,Yes,Yes,3F,5F,Day and Night -4h,Night Setback -2h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,94%,None,None,Electric,None,None,None,No,None,20 ACH50,No,None,None,None,2
151,Stochastic,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour1,Hour8,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01323",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,4,Not Applicable,Occupied,3,F18 B18 L18 R18,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, R-7","Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 10.7",None,None,None,None,70F,72F,No,Yes,0F,2F,None,Day Setup -4h,None,"EF 15.9, 100% Usage","Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,94%,None,None,None,None,None,None,No,None,30 ACH50,No,None,None,None,5
152,Stochastic,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour0,Hour14,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01316",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",500-749,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,2,Not Applicable,Occupied,2,F12 B12 L12 R12,Left/Right at 15ft,R-13,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, R-7","Single, Clear, Metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,65F,72F,Yes,Yes,3F,5F,Night +4h,Day and Night Setup -1h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% LED,94%,None,"EF 12, National Average",None,None,None,None,No,None,25 ACH50,No,None,None,None,5
153,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour6,Hour18,4C,"WA, Clark County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11102",Single-Family Detached,1960s,1960-79,Single-Family Detached,Electricity,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,None,5,Not Applicable,Occupied,4,F15 B15 L15 R15,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Single, Clear, Metal",Yes,Propane,Propane Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,None,None,None,None,None,60F,70F,No,Yes,0F,5F,None,Night Setup -3h,Standard Efficiency,"EF 19.9, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,94%,None,"EF 12, National Average",None,None,None,None,No,None,15 ACH50,No,None,None,None,2
154,Stochastic,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour0,Hour16,4C,"WA, Clark County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11102",Single-Family Detached,<1940,<1940,Single-Family Detached,Electricity,None,None,Unheated Basement,Wood Frame,"Vinyl, Light","Wood Frame, Vinyl, Light",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,None,4,Not Applicable,Occupied,5,F9 B9 L9 R9,Left/Right at 15ft,R-7,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Double, Low-E, Non-metal, Air, M-Gain",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,"Room AC, EER 9.8",None,None,None,None,60F,70F,Yes,No,3F,0F,Day -1h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% CFL,94%,EF 6.7,None,None,None,None,None,No,None,25 ACH50,No,None,None,None,2
155,Stochastic,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,Gas Grill,None,None,"Year-Round, 3 days/wk",None,Hour7,Hour7,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01320",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Shingle, Composition, Medium","Wood Frame, Shingle, Composition, Medium",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,2 Car,2,Not Applicable,Occupied,1,F6 B6 L6 R6,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Composition Shingles,None,Ceiling R-19,Uninsulated,"Wood Stud, R-19","Triple, Low-E, Non-metal, Air, L-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,60F,72F,Yes,Yes,3F,5F,Night -4h,Night Setback -5h,Standard Efficiency,"EF 15.9, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,94%,None,"EF 12, National Average",None,Has Pool,None,1.0 HP Pump,Yes,"10% Leakage, R-6",20 ACH50,No,None,None,None,5
156,Stochastic,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour6,Hour18,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01316",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Wood Frame,"Aluminum, Light","Wood Frame, Aluminum, Light",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,3,Not Applicable,Occupied,1,F6 B6 L6 R6,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Single, Clear, Metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 10.7",None,None,None,None,65F,70F,Yes,Yes,6F,9F,Night -5h,Night Setback -3h,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% LED,94%,EF 15.9,"EF 12, National Average",None,None,None,None,No,None,40 ACH50,No,None,None,None,5
157,Stochastic,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour3,Hour17,4C,"WA, Clark County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11102",Single-Family Detached,1990s,1980-99,Single-Family Detached,Electricity,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",4000+,4000+,2,Single-Family Detached,None,None,None,2,Vented Attic,3 Car,3,Not Applicable,Occupied,3,F12 B12 L12 R12,Left/Right at 15ft,R-49,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Ceiling R-19,Uninsulated,"Wood Stud, R-11","Double, Low-E, Non-metal, Air, M-Gain",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,None,None,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,Heat Pump,None,None,None,None,70F,65F,Yes,No,3F,0F,Day and Night -1h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,94%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",10 ACH50,No,None,None,None,2
158,Stochastic,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour1,Hour16,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01316",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Ambient,Wood Frame,"Shingle, Composition, Medium","Wood Frame, Shingle, Composition, Medium",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,2,Not Applicable,Occupied,2,F9 B9 L9 R9,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Composition Shingles,None,Ceiling R-30,Uninsulated,"Wood Stud, R-19","Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Room AC,None,None,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,"Room AC, EER 12.0",None,None,None,None,72F,70F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,94%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-8",15 ACH50,No,None,None,None,5
159,Stochastic,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour10,Hour6,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01320",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Shingle, Composition, Medium","Wood Frame, Shingle, Composition, Medium",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,2 Car,3,Not Applicable,Occupied,4,F12 B12 L12 R12,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Composition Shingles,None,Ceiling R-19,Uninsulated,"Wood Stud, R-19","Double, Low-E, Non-metal, Air, M-Gain",Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,68F,70F,Yes,No,6F,0F,Night +2h,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Gas, 80% Usage",100% LED,94%,None,"EF 12, National Average",Electric,None,None,None,Yes,"10% Leakage, R-6",7 ACH50,No,None,None,None,5
160,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour10,Hour9,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01303",Single-Family Detached,1950s,1940-59,Single-Family Detached,Electricity,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",3000-3999,2500-3999,3,Single-Family Detached,None,None,None,3,Vented Attic,2 Car,3,Not Applicable,Occupied,2,F30 B30 L30 R30,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Double, Clear, Non-metal, Air",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,None,None,None,None,None,60F,70F,Yes,Yes,12F,2F,Night +4h,Day and Night Setup -2h,Standard Efficiency,"EF 15.9, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,94%,None,None,None,None,None,None,No,None,15 ACH50,No,None,None,None,5
161,Stochastic,High,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour0,Hour17,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01305",Single-Family Detached,1970s,1960-79,Single-Family Detached,Electricity,None,None,Slab,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,2 Car,3,Not Applicable,Occupied,3,F18 B18 L18 R18,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Wood Stud, R-7","Double, Clear, Non-metal, Air, Exterior Clear Storm",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,None,None,None,None,None,70F,70F,No,Yes,0F,9F,None,Night Setback,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 120% Usage","290 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% LED,94%,None,"EF 12, National Average",None,None,None,None,No,None,20 ACH50,No,None,None,None,5
162,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour2,Hour14,4C,"OR, Multnomah County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01303",Single-Family Detached,<1940,<1940,Single-Family Detached,Electricity,None,None,Vented Crawlspace,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,None,3,Not Applicable,Occupied,1,F9 B9 L9 R9,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Double, Clear, Non-metal, Air",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,None,None,None,None,None,68F,70F,Yes,Yes,12F,5F,Night +3h,Night Setback,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Propane, 100% Usage",100% CFL,94%,None,"EF 12, National Average",None,None,None,None,No,None,15 ACH50,No,None,None,None,5
